"PO_DOCUMENT_TYPE.ShortCode","PO_DOCUMENT_TYPE.TypeName","CreatedBy","CreationDate","DocumentSubtype","DocumentTypeCode","Language","LastUpdateDate","LastUpdateLogin","LastUpdatedBy","SourceLang","TypeName"
"Indonesia IDR","RFQ","phani@squareup.com","2022/06/09 20:00:58.109","SOURCING RFQ","SOURCING RFQ","US","2022/06/09 20:01:48.56","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","RFQ"
"Tidal UK","Auction","phani@squareup.com","2021/12/15 12:30:05.02","BUYER AUCTION","AUCTION","US","2021/12/15 12:30:55.202","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Auction"
"Tidal UK","Blanket Purchase Agreement","phani@squareup.com","2021/12/15 12:30:05.029","BLANKET","PA","US","2021/12/15 12:30:55.204","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Blanket Purchase Agreement"
"Tidal UK","Contract Purchase Agreement","phani@squareup.com","2021/12/15 12:30:05.036","CONTRACT","PA","US","2021/12/15 12:30:55.206","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Contract Purchase Agreement"
"Tidal UK","Purchase Order","phani@squareup.com","2021/12/15 12:30:05.042","STANDARD","PO","US","2021/12/15 12:30:55.207","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Purchase Order"
"Tidal UK","RFI","phani@squareup.com","2021/12/15 12:30:05.049","SOURCING RFI","SOURCING RFI","US","2021/12/15 12:30:55.209","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","RFI"
"Tidal UK","RFQ","phani@squareup.com","2021/12/15 12:30:05.054","SOURCING RFQ","SOURCING RFQ","US","2021/12/15 12:30:55.21","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","RFQ"
"Tidal Germany","Auction","phani@squareup.com","2021/12/15 12:22:02.025","BUYER AUCTION","AUCTION","US","2021/12/15 12:22:59.194","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Auction"
"Tidal Germany","Blanket Purchase Agreement","phani@squareup.com","2021/12/15 12:22:02.038","BLANKET","PA","US","2021/12/15 12:22:59.199","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Blanket Purchase Agreement"
"Tidal Germany","Contract Purchase Agreement","phani@squareup.com","2021/12/15 12:22:02.046","CONTRACT","PA","US","2021/12/15 12:22:59.2","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Contract Purchase Agreement"
"Tidal Germany","Purchase Order","phani@squareup.com","2021/12/15 12:22:02.056","STANDARD","PO","US","2021/12/15 12:22:59.201","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Purchase Order"
"Tidal Germany","RFI","phani@squareup.com","2021/12/15 12:22:02.065","SOURCING RFI","SOURCING RFI","US","2021/12/15 12:22:59.203","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","RFI"
"Tidal Germany","RFQ","phani@squareup.com","2021/12/15 12:22:02.074","SOURCING RFQ","SOURCING RFQ","US","2021/12/15 12:22:59.204","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","RFQ"
"Tidal Sweden","Auction","phani@squareup.com","2021/12/15 12:28:38.018","BUYER AUCTION","AUCTION","US","2021/12/15 12:29:28.179","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Auction"
"Tidal Sweden","Blanket Purchase Agreement","phani@squareup.com","2021/12/15 12:28:38.026","BLANKET","PA","US","2021/12/15 12:29:28.18","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Blanket Purchase Agreement"
"Tidal Sweden","Contract Purchase Agreement","phani@squareup.com","2021/12/15 12:28:38.035","CONTRACT","PA","US","2021/12/15 12:29:28.182","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Contract Purchase Agreement"
"Tidal Sweden","Purchase Order","phani@squareup.com","2021/12/15 12:28:38.045","STANDARD","PO","US","2021/12/15 12:29:28.183","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Purchase Order"
"Tidal Sweden","RFI","phani@squareup.com","2021/12/15 12:28:38.053","SOURCING RFI","SOURCING RFI","US","2021/12/15 12:29:28.185","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","RFI"
"Tidal Sweden","RFQ","phani@squareup.com","2021/12/15 12:28:38.061","SOURCING RFQ","SOURCING RFQ","US","2021/12/15 12:29:28.186","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","RFQ"
"TIDAL Cayman","Auction","phani@squareup.com","2021/12/15 12:19:30.935","BUYER AUCTION","AUCTION","US","2021/12/15 12:21:21.401","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Auction"
"TIDAL Cayman","Blanket Purchase Agreement","phani@squareup.com","2021/12/15 12:19:31.132","BLANKET","PA","US","2021/12/15 12:21:21.41","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Blanket Purchase Agreement"
"TIDAL Cayman","Contract Purchase Agreement","phani@squareup.com","2021/12/15 12:19:31.278","CONTRACT","PA","US","2021/12/15 12:21:21.418","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Contract Purchase Agreement"
"TIDAL Cayman","Purchase Order","phani@squareup.com","2021/12/15 12:19:31.287","STANDARD","PO","US","2021/12/15 12:21:21.42","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Purchase Order"
"TIDAL Cayman","RFI","phani@squareup.com","2021/12/15 12:19:31.295","SOURCING RFI","SOURCING RFI","US","2021/12/15 12:21:21.423","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","RFI"
"TIDAL Cayman","RFQ","phani@squareup.com","2021/12/15 12:19:31.311","SOURCING RFQ","SOURCING RFQ","US","2021/12/15 12:21:21.425","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","RFQ"
"Tidal Spain","Auction","phani@squareup.com","2022/04/06 06:05:24.254","BUYER AUCTION","AUCTION","US","2022/04/06 06:07:13.633","DBF5E43C794F06D6E053A062500AE3F6","phani@squareup.com","US","Auction"
"Tidal Spain","Blanket Purchase Agreement","phani@squareup.com","2022/04/06 06:05:24.363","BLANKET","PA","US","2022/04/06 06:07:13.673","DBF5E43C794F06D6E053A062500AE3F6","phani@squareup.com","US","Blanket Purchase Agreement"
"Tidal Spain","Contract Purchase Agreement","phani@squareup.com","2022/04/06 06:05:24.482","CONTRACT","PA","US","2022/04/06 06:07:13.68","DBF5E43C794F06D6E053A062500AE3F6","phani@squareup.com","US","Contract Purchase Agreement"
"Tidal Spain","Purchase Order","phani@squareup.com","2022/04/06 06:05:24.49","STANDARD","PO","US","2022/04/06 06:07:13.682","DBF5E43C794F06D6E053A062500AE3F6","phani@squareup.com","US","Purchase Order"
"Tidal Spain","RFI","phani@squareup.com","2022/04/06 06:05:24.5","SOURCING RFI","SOURCING RFI","US","2022/04/06 06:07:13.687","DBF5E43C794F06D6E053A062500AE3F6","phani@squareup.com","US","RFI"
"Tidal Spain","RFQ","phani@squareup.com","2022/04/06 06:05:24.518","SOURCING RFQ","SOURCING RFQ","US","2022/04/06 06:07:13.691","DBF5E43C794F06D6E053A062500AE3F6","phani@squareup.com","US","RFQ"
"Mexico","Auction","shashi@squareup.com","2023/02/09 11:09:16.687","BUYER AUCTION","AUCTION","US","2023/02/09 11:16:57.105","F43FD2209D874A57E0539696500AAC95","shashi@squareup.com","US","Auction"
"Mexico","Blanket Purchase Agreement","shashi@squareup.com","2023/02/09 11:09:16.742","BLANKET","PA","US","2023/02/09 11:16:57.111","F43FD2209D874A57E0539696500AAC95","shashi@squareup.com","US","Blanket Purchase Agreement"
"Mexico","Contract Purchase Agreement","shashi@squareup.com","2023/02/09 11:09:16.862","CONTRACT","PA","US","2023/02/09 11:16:57.114","F43FD2209D874A57E0539696500AAC95","shashi@squareup.com","US","Contract Purchase Agreement"
"Mexico","Purchase Order","shashi@squareup.com","2023/02/09 11:09:16.867","STANDARD","PO","US","2023/02/09 11:16:57.115","F43FD2209D874A57E0539696500AAC95","shashi@squareup.com","US","Purchase Order"
"Mexico","RFI","shashi@squareup.com","2023/02/09 11:09:16.871","SOURCING RFI","SOURCING RFI","US","2023/02/09 11:16:57.117","F43FD2209D874A57E0539696500AAC95","shashi@squareup.com","US","RFI"
"Mexico","RFQ","shashi@squareup.com","2023/02/09 11:09:16.879","SOURCING RFQ","SOURCING RFQ","US","2023/02/09 11:16:57.119","F43FD2209D874A57E0539696500AAC95","shashi@squareup.com","US","RFQ"
"France","Auction","shashi@squareup.com","2023/02/27 08:00:21.745","BUYER AUCTION","AUCTION","US","2023/02/27 08:04:55.147","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","US","Auction"
"France","Blanket Purchase Agreement","shashi@squareup.com","2023/02/27 08:00:21.85","BLANKET","PA","US","2023/02/27 08:04:55.167","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","US","Blanket Purchase Agreement"
"France","Contract Purchase Agreement","shashi@squareup.com","2023/02/27 08:00:22.122","CONTRACT","PA","US","2023/02/27 08:04:55.171","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","US","Contract Purchase Agreement"
"France","Purchase Order","shashi@squareup.com","2023/02/27 08:00:22.138","STANDARD","PO","US","2023/02/27 08:04:55.174","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","US","Purchase Order"
"France","RFI","shashi@squareup.com","2023/02/27 08:00:22.162","SOURCING RFI","SOURCING RFI","US","2023/02/27 08:04:55.179","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","US","RFI"
"France","RFQ","shashi@squareup.com","2023/02/27 08:00:22.18","SOURCING RFQ","SOURCING RFQ","US","2023/02/27 08:04:55.183","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","US","RFQ"
"China","Auction","shashi@squareup.com","2023/06/12 10:04:22.501","BUYER AUCTION","AUCTION","US","2023/06/12 10:07:25.166","FDD77986A9B633F0E0539696500AC459","shashi@squareup.com","US","Auction"
"China","Blanket Purchase Agreement","shashi@squareup.com","2023/06/12 10:04:22.558","BLANKET","PA","US","2023/06/12 10:07:25.171","FDD77986A9B633F0E0539696500AC459","shashi@squareup.com","US","Blanket Purchase Agreement"
"China","Contract Purchase Agreement","shashi@squareup.com","2023/06/12 10:04:22.693","CONTRACT","PA","US","2023/06/12 10:07:25.175","FDD77986A9B633F0E0539696500AC459","shashi@squareup.com","US","Contract Purchase Agreement"
"China","Purchase Order","shashi@squareup.com","2023/06/12 10:04:22.699","STANDARD","PO","US","2023/06/12 10:07:25.176","FDD77986A9B633F0E0539696500AC459","shashi@squareup.com","US","Purchase Order"
"China","RFI","shashi@squareup.com","2023/06/12 10:04:22.706","SOURCING RFI","SOURCING RFI","US","2023/06/12 10:07:25.179","FDD77986A9B633F0E0539696500AC459","shashi@squareup.com","US","RFI"
"China","RFQ","shashi@squareup.com","2023/06/12 10:04:22.716","SOURCING RFQ","SOURCING RFQ","US","2023/06/12 10:07:25.182","FDD77986A9B633F0E0539696500AC459","shashi@squareup.com","US","RFQ"
"Japan","Auction","mukund1@squareup.com","2019/12/20 00:20:54.233","BUYER AUCTION","AUCTION","US","2019/12/20 00:43:44.908","9776BD3285B9BEB7E053140C1B0AD257","mukund1@squareup.com","US","Auction"
"Japan","Blanket Purchase Agreement","mukund1@squareup.com","2019/12/20 00:20:54.317","BLANKET","PA","US","2019/12/20 00:43:44.937","9776BD3285B9BEB7E053140C1B0AD257","mukund1@squareup.com","US","Blanket Purchase Agreement"
"Japan","Contract Purchase Agreement","mukund1@squareup.com","2019/12/20 00:20:54.473","CONTRACT","PA","US","2019/12/20 00:43:44.942","9776BD3285B9BEB7E053140C1B0AD257","mukund1@squareup.com","US","Contract Purchase Agreement"
"Japan","Purchase Order","mukund1@squareup.com","2019/12/20 00:20:54.484","STANDARD","PO","US","2019/12/20 00:43:44.944","9776BD3285B9BEB7E053140C1B0AD257","mukund1@squareup.com","US","Purchase Order"
"Japan","RFI","mukund1@squareup.com","2019/12/20 00:20:54.495","SOURCING RFI","SOURCING RFI","US","2019/12/20 00:43:44.947","9776BD3285B9BEB7E053140C1B0AD257","mukund1@squareup.com","US","RFI"
"Japan","RFQ","mukund1@squareup.com","2019/12/20 00:20:54.513","SOURCING RFQ","SOURCING RFQ","US","2019/12/20 00:43:44.95","9776BD3285B9BEB7E053140C1B0AD257","mukund1@squareup.com","US","RFQ"
"UK","Auction","venkat@squareup.com","2018/09/28 03:12:49.035","BUYER AUCTION","AUCTION","US","2018/09/28 03:13:31.386","76073F52B629B01DE053140C1B0A8806","venkat@squareup.com","US","Auction"
"UK","Blanket Purchase Agreement","venkat@squareup.com","2018/09/28 03:12:49.068","BLANKET","PA","US","2018/09/28 03:13:31.389","76073F52B629B01DE053140C1B0A8806","venkat@squareup.com","US","Blanket Purchase Agreement"
"UK","Contract Purchase Agreement","venkat@squareup.com","2018/09/28 03:12:49.079","CONTRACT","PA","US","2018/09/28 03:13:31.391","76073F52B629B01DE053140C1B0A8806","venkat@squareup.com","US","Contract Purchase Agreement"
"UK","Purchase Order","venkat@squareup.com","2018/09/28 03:12:49.091","STANDARD","PO","US","2018/09/28 03:13:31.392","76073F52B629B01DE053140C1B0A8806","venkat@squareup.com","US","Purchase Order"
"UK","RFI","venkat@squareup.com","2018/09/28 03:12:49.103","SOURCING RFI","SOURCING RFI","US","2018/09/28 03:13:31.394","76073F52B629B01DE053140C1B0A8806","venkat@squareup.com","US","RFI"
"UK","RFQ","venkat@squareup.com","2018/09/28 03:12:49.115","SOURCING RFQ","SOURCING RFQ","US","2018/09/28 03:13:31.396","76073F52B629B01DE053140C1B0A8806","venkat@squareup.com","US","RFQ"
"Lithuania","Auction","phani@squareup.com","2021/01/12 07:50:31.019","BUYER AUCTION","AUCTION","US","2021/01/12 07:52:04.183","B71C07CF1B000E75E053A062500A39E7","phani@squareup.com","US","Auction"
"Lithuania","Blanket Purchase Agreement","phani@squareup.com","2021/01/12 07:50:31.032","BLANKET","PA","US","2021/01/12 07:52:04.186","B71C07CF1B000E75E053A062500A39E7","phani@squareup.com","US","Blanket Purchase Agreement"
"Lithuania","Contract Purchase Agreement","phani@squareup.com","2021/01/12 07:50:31.04","CONTRACT","PA","US","2021/01/12 07:52:04.187","B71C07CF1B000E75E053A062500A39E7","phani@squareup.com","US","Contract Purchase Agreement"
"Lithuania","Purchase Order","phani@squareup.com","2021/01/12 07:50:31.049","STANDARD","PO","US","2021/01/12 07:52:04.188","B71C07CF1B000E75E053A062500A39E7","phani@squareup.com","US","Purchase Order"
"Lithuania","RFI","phani@squareup.com","2021/01/12 07:50:31.057","SOURCING RFI","SOURCING RFI","US","2021/01/12 07:52:04.189","B71C07CF1B000E75E053A062500A39E7","phani@squareup.com","US","RFI"
"Lithuania","RFQ","phani@squareup.com","2021/01/12 07:50:31.064","SOURCING RFQ","SOURCING RFQ","US","2021/01/12 07:52:04.191","B71C07CF1B000E75E053A062500A39E7","phani@squareup.com","US","RFQ"
"Tidal Poland","Auction","phani@squareup.com","2021/12/15 12:27:07.022","BUYER AUCTION","AUCTION","US","2021/12/15 12:27:58.059","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Auction"
"Tidal Poland","Blanket Purchase Agreement","phani@squareup.com","2021/12/15 12:27:07.037","BLANKET","PA","US","2021/12/15 12:27:58.061","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Blanket Purchase Agreement"
"Tidal Poland","Contract Purchase Agreement","phani@squareup.com","2021/12/15 12:27:07.047","CONTRACT","PA","US","2021/12/15 12:27:58.063","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Contract Purchase Agreement"
"Tidal Poland","Purchase Order","phani@squareup.com","2021/12/15 12:27:07.059","STANDARD","PO","US","2021/12/15 12:27:58.064","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Purchase Order"
"Tidal Poland","RFI","phani@squareup.com","2021/12/15 12:27:07.069","SOURCING RFI","SOURCING RFI","US","2021/12/15 12:27:58.065","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","RFI"
"Tidal Poland","RFQ","phani@squareup.com","2021/12/15 12:27:07.078","SOURCING RFQ","SOURCING RFQ","US","2021/12/15 12:27:58.067","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","RFQ"
"Proto Global, LLC - 163","Auction","block_hbs_admin@block.xyz","2025/04/03 18:49:39.382","BUYER AUCTION","AUCTION","US","2025/04/03 19:00:39.134","31CA721384AE0744E0634893500A784B","block_hbs_admin@block.xyz","US","Auction"
"Proto Global, LLC - 163","Blanket Purchase Agreement","block_hbs_admin@block.xyz","2025/04/03 18:49:39.457","BLANKET","PA","US","2025/04/03 19:00:39.142","31CA721384AE0744E0634893500A784B","block_hbs_admin@block.xyz","US","Blanket Purchase Agreement"
"Proto Global, LLC - 163","Contract Purchase Agreement","block_hbs_admin@block.xyz","2025/04/03 18:49:39.559","CONTRACT","PA","US","2025/04/03 19:00:39.146","31CA721384AE0744E0634893500A784B","block_hbs_admin@block.xyz","US","Contract Purchase Agreement"
"Proto Global, LLC - 163","Purchase Order","block_hbs_admin@block.xyz","2025/04/03 18:49:39.565","STANDARD","PO","US","2025/04/03 19:00:39.147","31CA721384AE0744E0634893500A784B","block_hbs_admin@block.xyz","US","Purchase Order"
"Proto Global, LLC - 163","RFI","block_hbs_admin@block.xyz","2025/04/03 18:49:39.572","SOURCING RFI","SOURCING RFI","US","2025/04/03 19:00:39.151","31CA721384AE0744E0634893500A784B","block_hbs_admin@block.xyz","US","RFI"
"Proto Global, LLC - 163","RFQ","block_hbs_admin@block.xyz","2025/04/03 18:49:39.581","SOURCING RFQ","SOURCING RFQ","US","2025/04/03 19:00:39.154","31CA721384AE0744E0634893500A784B","block_hbs_admin@block.xyz","US","RFQ"
